['0', '30-ВСГ', '76-XMA', '24:08:12', '1']
['1', '20-ИИТ', '91-YKR', '2:30:52', '2']
['2', '47-BBL', '79-NMQ', '14:01:42', '2']
['3', '6-РЕУ', '69-DFV', '17:54:12', '6']
['4', '31-UVK', '78-HKV', '17:16:53', '6']
['5', '42-NQE', '59-ЧЙЦ', '14:38:43', '7']
['6', '46-NCX', '75-IOL', '24:42:24', '3']
['7', '25-PDI', '63-СЦИ', '3:31:28', '7']
['8', '19-AER', '56-OJK', '11:26:47', '7']
['9', '36-ХОХ', '54-TNP', '15:42:52', '4']
['10', '40-АЦЕ', '67-BZB', '1:31:52', '4']
['11', '9-NXX', '59-НЦЦ', '11:42:12', '1']
['12', '26-ГЯЭ', '83-ЗТВ', '16:51:24', '9']
['13', '40-HBQ', '89-КУТ', '8:29:52', '9']
['14', '31-OTA', '72-СЛМ', '7:54:49', '9']
['15', '13-ШТФ', '84-LNM', '2:34:01', '9']
['16', '27-ШЪЬ', '72-TPJ', '24:38:41', '4']
['17', '23-IBD', '60-GAG', '18:13:01', '7']
['18', '35-RWB', '50-ЕОЩ', '2:06:57', '9']
['19', '22-РРФ', '62-ЯБШ', '16:46:53', '5']
['20', '18-MMF', '95-БГЙ', '18:06:08', '5']
['21', '40-SHK', '88-КЩН', '1:40:19', '6']
['22', '7-HTL', '59-ЫЧБ', '18:57:24', '3']
['23', '18-USK', '97-ЛБП', '5:23:51', '1']
['24', '25-ЭВЛ', '72-QRW', '21:57:40', '6']
['25', '44-VTM', '94-ЯБА', '14:14:38', '6']
['26', '20-ЩВТ', '92-РРЛ', '5:34:00', '1']
['27', '40-AHM', '72-VOF', '3:08:40', '4']
['28', '25-РКА', '86-ФОЫ', '7:01:31', '5']
['29', '47-ОЖЛ', '55-NVE', '17:42:42', '2']
['30', '44-ВЛО', '64-HXE', '11:55:34', '3']
['31', '28-OSL', '94-BAK', '1:37:20', '2']
['32', '46-СШЙ', '66-IKA', '16:49:52', '6']
['33', '30-ПЛБ', '96-ШПА', '4:48:08', '1']
['34', '41-JFQ', '51-TNE', '9:52:53', '8']
['35', '29-QAT', '75-ЛОЫ', '21:09:03', '9']
['36', '5-ДЫЮ', '83-OUU', '2:34:00', '4']
['37', '23-LLW', '53-ОКН', '6:23:48', '9']
['38', '19-UEP', '57-ITT', '18:49:08', '2']
['39', '35-IUK', '84-FEH', '16:58:59', '8']
['40', '10-GJH', '75-ГТЩ', '16:47:20', '5']
['41', '19-ПХО', '79-СОХ', '21:25:14', '3']
['42', '30-ЫВЧ', '69-РМИ', '10:55:13', '4']
['43', '13-НРЙ', '67-HIQ', '1:08:01', '3']
['44', '10-LRP', '62-ЯЙХ', '9:13:21', '2']
['45', '32-ЪВЖ', '77-MWY', '24:35:55', '3']
['46', '7-HEU', '64-YAM', '21:43:57', '8']
['47', '47-FQP', '90-MNZ', '16:51:49', '8']
['48', '29-WAU', '75-YAG', '18:17:28', '1']
['49', '16-ЖРБ', '50-HUZ', '6:28:57', '6']
['50', '33-УЮЭ', '61-JON', '16:42:10', '9']
['51', '32-HZL', '69-ИЭШ', '5:05:45', '2']
['52', '38-ЙШЕ', '94-YUG', '23:28:19', '4']
['53', '10-YXO', '91-ЯСЙ', '21:16:37', '3']
['54', '15-ВГА', '51-GXU', '21:36:37', '5']
['55', '11-UVX', '58-FYR', '9:48:23', '7']
['56', '13-ЯЙЯ', '93-ХЕЗ', '18:03:45', '6']
['57', '20-ZDT', '64-AAZ', '5:20:14', '9']
['58', '46-ОУК', '81-PLN', '1:34:30', '7']
['59', '18-ГТО', '76-XTN', '19:37:23', '1']
['60', '13-ЭЬО', '72-PAT', '20:09:39', '4']
['61', '7-VWF', '75-FIA', '10:06:44', '6']
['62', '11-TJU', '55-ЯТМ', '22:32:36', '6']
['63', '37-ДБШ', '93-СГЧ', '6:05:17', '1']
['64', '20-PNZ', '62-LUU', '18:27:36', '1']
['65', '39-ЯИЖ', '52-ЮФУ', '12:29:51', '9']
['66', '6-ЖДЛ', '50-ОЕТ', '12:12:44', '8']
['67', '10-ZOQ', '91-ETP', '3:28:03', '7']
['68', '22-ЩЗЛ', '99-MQK', '8:23:02', '2']
['69', '25-NZI', '70-ЗМЗ', '17:33:13', '5']
['70', '13-VWU', '60-TSO', '10:55:12', '9']
['71', '31-OBS', '91-QPM', '2:41:57', '7']
['72', '39-ТВФ', '53-ЪГЭ', '15:34:37', '9']
['73', '10-ЕЗА', '78-GTZ', '1:54:07', '6']
['74', '18-MOU', '93-ЫЫЫ', '7:07:33', '1']
['75', '29-НЕФ', '99-KKY', '24:21:14', '9']
['76', '31-МСЗ', '98-RWM', '6:53:32', '8']
['77', '38-GOQ', '77-ВЩД', '9:06:53', '2']
['78', '10-ЬЗЭ', '68-RZV', '19:48:17', '6']
['79', '28-SNS', '51-ПЖЪ', '2:29:37', '3']
['80', '23-CEN', '55-CVC', '11:28:56', '4']
['81', '5-VVY', '69-НЦЬ', '1:08:08', '3']
['82', '46-НЗП', '81-ЭЯГ', '15:59:15', '7']
['83', '10-БЕМ', '68-ЗОЧ', '19:02:37', '9']
['84', '8-KNH', '82-VLA', '6:46:26', '7']
['85', '48-OQN', '65-ЖХУ', '4:51:26', '1']
['86', '43-WOV', '63-LPI', '15:27:43', '2']
['87', '46-УЯЭ', '87-ЯЯА', '10:45:29', '9']
['88', '16-EMQ', '77-ETC', '21:43:46', '8']
['89', '46-LMK', '61-ЛЮЧ', '2:54:24', '3']
['90', '36-CYF', '77-KKP', '4:30:15', '3']
['91', '8-ЦИМ', '98-МЫЛ', '2:24:22', '2']
['92', '7-XEO', '78-RSD', '5:40:19', '5']
['93', '32-ДВЭ', '94-РЫЫ', '16:02:51', '1']
['94', '15-ДРН', '63-UJH', '14:35:53', '3']
['95', '25-EHP', '96-YEX', '12:53:00', '3']
['96', '15-УЦЦ', '94-РБТ', '4:45:49', '6']
['97', '43-WDN', '86-DLP', '21:22:20', '6']
['98', '23-OFT', '83-ЭЙП', '13:38:09', '9']
['99', '24-XYV', '68-DAD', '5:14:08', '6']
['100', '21-ХРВ', '94-ZCY', '17:20:39', '1']
['101', '45-TMK', '98-ХИП', '12:54:07', '3']
['102', '20-ХКЗ', '86-ГПЕ', '16:22:32', '9']
